,Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
0,#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
1,NGA,2000-01-01,2000-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2000.0,2000,,18.029123,F,base year is 2015
2,NGA,2001-01-01,2001-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2001.0,2001,,18.857682,F,base year is 2015
3,NGA,2002-01-01,2002-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2002.0,2002,,23.848717,F,base year is 2015
4,NGA,2003-01-01,2003-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2003.0,2003,,26.827012,F,base year is 2015
5,NGA,2004-01-01,2004-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2004.0,2004,,28.677855,F,base year is 2015
6,NGA,2005-01-01,2005-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2005.0,2005,,33.017769,X,base year is 2015
7,NGA,2006-01-01,2006-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2006.0,2006,,37.833564,X,base year is 2015
8,NGA,2007-01-01,2007-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2007.0,2007,,37.850461,X,base year is 2015
9,NGA,2008-01-01,2008-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2008.0,2008,,42.677522,X,base year is 2015
10,NGA,2009-01-01,2009-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2009.0,2009,,50.410957,X,base year is 2015
11,NGA,2010-01-01,2010-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2010.0,2010,,58.521770,X,base year is 2015
12,NGA,2011-01-01,2011-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2011.0,2011,,66.852251,X,base year is 2015
13,NGA,2012-01-01,2012-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2012.0,2012,,73.673219,X,base year is 2015
14,NGA,2013-01-01,2013-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2013.0,2013,,79.981630,X,base year is 2015
15,NGA,2014-01-01,2014-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2014.0,2014,,87.416542,X,base year is 2015
16,NGA,2015-01-01,2015-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2015.0,2015,,95.414705,X,base year is 2015
17,NGA,2016-01-01,2016-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2016.0,2016,,105.660239,X,base year is 2015
18,NGA,2017-01-01,2017-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2017.0,2017,,124.163986,X,base year is 2015
19,NGA,2018-01-01,2018-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2018.0,2018,,147.603670,X,base year is 2015
20,NGA,2019-01-01,2019-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2019.0,2019,,167.470794,X,base year is 2015
21,NGA,2020-01-01,2020-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2020.0,2020,,192.197736,X,base year is 2015
22,NGA,2021-01-01,2021-01-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2021.0,2021,,231.469186,X,base year is 2015
23,NGA,2000-02-01,2000-02-29,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2000.0,2000,,18.065333,F,base year is 2015
24,NGA,2001-02-01,2001-02-28,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2001.0,2001,,19.287935,F,base year is 2015
